step,type,text,entropy,ig,top_recipe,top_prob,p::pomodoro pasta,p::marinara pasta,p::arrabbiata pasta,p::puttanesca pasta,p::amatriciana pasta,p::tuna tomato pasta,p::garlic oil pasta,p::lemon butter pasta,p::butter parmesan pasta,p::cacio e pepe,p::carbonara,p::alfredo pasta,p::vodka sauce pasta,p::mushroom cream pasta,p::ham and pea pasta,p::pesto pasta,p::pea pesto pasta,p::spinach pesto pasta,p::zucchini sauce pasta,p::pea butter pasta,p::clam pasta,p::shrimp garlic pasta,p::broccoli garlic pasta,p::gnocchi pomodoro,p::gnocchi pesto,p::scrambled carbonara,p::carbonara bianca,p::gricia,p::cacio e uova
0,initial,,4.858,0.0,pomodoro pasta,0.0345,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483,0.034483
1,observation,A cook pours water into a large pot on the stove.,4.5813,0.2766,alfredo pasta,0.072,0.018496,0.040898,0.070317,0.040705,0.071475,0.012696,0.044437,0.032926,0.059954,0.034881,0.03497,0.071998,0.056666,0.059434,0.034219,0.011728,0.020461,0.014792,0.01366,0.039945,0.056674,0.027443,0.022881,0.000283,2.2e-05,0.028919,0.031738,0.025426,0.021956
2,observation,A cook cracks an egg into a small bowl.,3.6347,0.9466,cacio e uova,0.2561,0.015948,0.017092,0.026168,0.013905,0.025147,0.011711,0.01506,0.011822,0.016627,0.021933,0.195139,0.01924,0.020832,0.016292,0.014324,0.00483,0.006927,0.005633,0.010123,0.012016,0.01682,0.011871,0.009363,4.1e-05,9e-05,0.145397,0.070835,0.008712,0.256101
3,observation,A cook grates pecorino into a mixing bowl.,2.462,1.1727,cacio e uova,0.394,0.000481,0.003366,0.007062,0.002713,0.027638,0.000376,0.004476,0.001002,0.000647,0.008704,0.286744,0.000704,0.00062,0.002869,0.000485,0.002842,0.002823,0.002068,0.003641,0.003681,0.003102,0.000388,0.002871,6.7e-05,0.000136,0.065247,0.132923,0.038317,0.394006
4,observation,A cook slices pancetta on a cutting board.,2.0295,0.4325,carbonara,0.5244,0.000946,0.001527,0.002294,0.001026,0.017148,0.000721,0.002231,0.000799,0.000622,0.005004,0.524435,0.00061,0.001102,0.004712,0.000891,0.001358,0.001217,0.000302,0.001597,0.00051,0.004301,0.000905,0.001471,6.5e-05,0.000111,0.033114,0.270643,0.028431,0.091906
5,observation,A cook fries pancetta in a skillet.,2.0394,-0.0099,carbonara,0.5577,0.000981,0.00148,0.002529,0.002068,0.024564,0.001317,0.002641,0.00122,0.001132,0.006328,0.557713,0.00114,0.001886,0.006557,0.00179,0.000754,0.000257,8.8e-05,0.002683,0.000994,0.003517,0.001406,0.00173,9.9e-05,3.5e-05,0.043844,0.24872,0.05104,0.031486
6,observation,A cook stirs pasta in a pot of boiling water.,1.9593,0.0801,carbonara,0.6261,0.001603,0.002272,0.003088,0.002404,0.018036,0.001657,0.003122,0.001433,0.002224,0.010772,0.62607,0.001812,0.00201,0.009973,0.001736,0.000491,0.000442,0.000168,0.00323,0.001244,0.003743,0.001766,0.001935,7.2e-05,2e-05,0.03345,0.182009,0.065199,0.018019
7,observation,A cook pours pasta into a pot of boiling water.,2.5628,-0.6035,carbonara,0.4154,0.001902,0.002592,0.003361,0.002643,0.034285,0.001888,0.003909,0.0039,0.003484,0.011818,0.415394,0.005157,0.00462,0.010518,0.003988,0.001415,0.001241,0.000525,0.007345,0.003654,0.007634,0.004081,0.004819,0.000163,4.4e-05,0.059817,0.304869,0.054308,0.040624
8,observation,A cook stirs the pasta in the skillet.,2.4393,0.1235,carbonara,0.51,0.002036,0.002612,0.003488,0.002976,0.013314,0.002022,0.004273,0.003897,0.004043,0.019618,0.51001,0.005479,0.004479,0.011948,0.004258,0.00123,0.001095,0.000506,0.004562,0.003775,0.006047,0.003267,0.003966,0.000152,2.6e-05,0.052492,0.213616,0.08311,0.031702
9,observation,A cook stirs pasta in a skillet with tongs.,2.3717,0.0676,carbonara,0.5343,0.002426,0.003062,0.002295,0.003554,0.013178,0.002387,0.00529,0.004486,0.005226,0.026216,0.534261,0.00659,0.004633,0.007696,0.00481,0.000844,0.000721,0.000358,0.005459,0.004461,0.003392,0.001974,0.002365,0.000167,3.3e-05,0.047862,0.187129,0.102382,0.016745
